ninho	Latitude	Longitude
194	-15.76091599	-47.85798297
195	-15.76021702	-47.85792598
196	-15.76437897	-47.853184
197	-15.76220102	-47.85492601
198	-15.76164102	-47.85487798
199	-15.76170699	-47.85471403
200	-15.76155402	-47.85427096
201	-15.75506802	-47.87240001
202	-15.75482402	-47.87229398
203	-15.76414897	-47.85342699
204	-15.75467499	-47.87414303
205	-15.76046797	-47.85816302
206	-15.76166801	-47.85460196
207	-15.76139803	-47.85502902
208	-15.76251098	-47.85524997
209	-15.76157698	-47.85429301
210	-15.76176097	-47.85426199
211	-15.75411198	-47.87226498
212	-15.75550103	-47.87296797
213	-15.75521403	-47.873362
214	-15.75381601	-47.87408
215	-15.75242202	-47.87430497
216	-15.76015801	-47.85700799
217	-15.76134598	-47.85560997
218	-15.76189902	-47.85557603
219	-15.75129398	-47.87571296
220	-15.75207199	-47.87620498
221	-15.76043503	-47.85746899
222	-15.76159098	-47.85504797
223	-15.75163697	-47.87476103
224	-15.76177496	-47.85490497
225	-15.76035197	-47.85969104
226	-15.76212499	-47.85538098
227	-15.76168603	-47.85411003
228	-15.76437101	-47.85238696
229	-15.76219297	-47.85469802
230	-15.76233798	-47.85415504
231	-15.7624	-47.85408698
232	-15.76312898	-47.85383401
233	-15.76344799	-47.85372002
234	-15.76390397	-47.85389403
235	-15.76361798	-47.85408002
236	-15.75492997	-47.87234704
237	-15.75468304	-47.87212199
238	-15.75486903	-47.87225702
239	-15.75497003	-47.87293796
240	-15.75586899	-47.87279103
241	-15.76049396	-47.85847499
242	-15.75359297	-47.87421302
243	-15.75302904	-47.87312002
244	-15.755008	-47.87283001
245	-15.75480399	-47.87282799
246	-15.75422103	-47.87219801
247	-15.75150898	-47.87503897
248	-15.75264699	-47.87321004
249	-15.75508998	-47.87245198
250	-15.75459603	-47.87252801
251	-15.75429998	-47.87219197
252	-15.753987	-47.87188402
253	-15.75435396	-47.87281299
254	-15.75423603	-47.87307199
255	-15.76085203	-47.85911101
256	-15.76362401	-47.85429301
257	-15.76291901	-47.85382798
258	-15.75429898	-47.87243203
259	-15.75422698	-47.87207496
260	-15.76370096	-47.85349396
261	-15.75492703	-47.87321004
262	-15.75473098	-47.87413004
263	-15.75295502	-47.87289597
264	-15.75523096	-47.87318397
265	-15.75409002	-47.87319998
266	-15.75400402	-47.87201403
267	-15.76053897	-47.85681101
268	-15.76087399	-47.85689902
269	-15.75202597	-47.87642098
270	-15.76013496	-47.85970604
271	-15.75963699	-47.85876199
272	-15.75506701	-47.872714
273	-15.75353103	-47.87614496
274	-15.76087701	-47.85674597
275	-15.76037301	-47.85895703
276	-15.75472796	-47.874181
277	-15.75434097	-47.87226398
278	-15.75431197	-47.87358698
279	-15.75417199	-47.87203398
280	-15.75459897	-47.87235601
