lon	lat
-47.87327835	-15.75703181
-47.87279799	-15.75685445
-47.87239691	-15.75787017
-47.87187648	-15.75768158
-47.87136795	-15.75762844
-47.8717137	-15.75668338
-47.87066479	-15.75642119
-47.87190657	-15.75508512
-47.87107131	-15.75433603
-47.8760277	-15.74927134
-47.8778703	-15.75080381
-47.87683119	-15.75414148
-47.87568119	-15.75363982
-47.87413171	-15.75562156
-47.87327835	-15.75703181
